Engine,Origin,Designer,Vehicle,Use,Propellant," name=VSLAt sea level if denoted SL, in vacuum otherwise",name=VSL,Mass (kg),Thrust:Weight is calculated at standard gravity.,Chamber pressure (bar),Oxidiser:zwspfuel ratio
",Aeon 1,USA,Relativity Space,Terran 1,1st,CH4 ;thinsp;/ ;thinsp;LOX,310," 86,740 (SL)",,,,
Aeon 1 Vacuum,USA,Relativity Space,Terran 1,2nd,CH4 ;thinsp;/ ;thinsp;LOX,360," 100,085 (SL)",,,,
AJ-60A,USA,Aerojet,Atlas V,Booster,Solid,275," 1,270,000",,,,
AR1,USA,Aerojet Rocketdyne,Beta (potential),1st,RP-1 ;thinsp;/ ;thinsp;LOX,," 2,200,000 (SL)",,,,2.72
BE-3,USA,Blue Origin,New Shepard,1st,LH2 ;thinsp;/ ;thinsp;LOX,," 490,000",,,,
BE-3U,USA,Blue Origin,New Glenn,2nd,LH2 ;thinsp;/ ;thinsp;LOX,," 710,000",,,,
BE-4,USA,Blue Origin,Vulcan,1st,CH4 ;thinsp;/ ;thinsp;LOX,," 2,400,000",,,134,
First ever ion engine used as a main engine on an operational commercial satellite (PAS-5),USA,Boeing,Boeing 601HP satellites,Vacuum,Xenon," 2,568 @0.5 kW",0.018 @0.5 kW,,,,
CE-20,IND,LPSC,GSLV Mk III,Upper,LH2 ;thinsp;/ ;thinsp;LOX,443," 200,000",588,34.7,60.00,5.05
CE-7.5,IND,LPSC,GSLV Mk II,Upper,LH2 ;thinsp;/ ;thinsp;LOX,454," 73,500 to 93,100",445,16.85,58,
Engine-2,USA,Launcher Space,Rocket-1,1st,RP-1 / LOX,327 290 (SL),"100,000",,,,2.62
Engine-2 Vacuum,USA,Launcher Space,Rocket-1,2nd,RP-1 / LOX,"365","100,000",,,,2.62
GEM 63,USA,Northrop Grumman,Atlas V,Booster,Solid,," 373,800"," 49,300",,,
GEM 63XL,USA,Northrop Grumman,Atlas V,Booster,Solid,," 450,000"," 53,400",,,
Hadley,USA,Ursa Major Technologies,GOLauncher 1,1st,RP-1 ;thinsp;/ ;thinsp;LOX,," 22,241 (SL)",,,,
HM-7B,EUR,Snecma,Ariane 5 ECA,Upper,LH2 ;thinsp;/ ;thinsp;LOX,446  310 (SL)," 64,800  43,600 (SL)"," 165",43.25," 37",5
LE-5B,JPN,MitsubishiJAXA,H-IIAH-IIB,Upper,LH2 ;thinsp;/ ;thinsp;LOX,447," 137,000",269,51.93,36.0,5
LE-7A,JPN,MitsubishiJAXA,H-IIAH-IIB,1st,LH2 ;thinsp;/ ;thinsp;LOX," 438  338 (SL)"," 1,098,000870,000 (SL)"," 1,800",62.2,121,5.9
Lightning 1,USA,Firefly Aerospace,Alpha,2nd,RP-1 ;thinsp;/ ;thinsp;LOX,322," 70,100",,,,
