Format,Languages
name[first:last],Julia
name[first+(⍳len)-⎕IO],APL
name[first:end:step]," Python, Go"
name[first..last]," Pascal, Delphi, Nim"
$name[first..last],Windows PowerShell
@name[first..last],Perl
" name[first..last] name[first...end] name[first, len]",Ruby
copy/part skip name first len,Red
name(first..last),Ada
name(first:last)," Fortran, GNU Octave, MATLAB"
namefirst;;last;;step," Mathematica, Wolfram Language"
namefirst:last,S-Lang
name.[first..last],F#
" name.slice(first, end)",Scala
" name.slice(first, len)",CFML
" array_slice(name, first, len)",PHP
(subseq name first end),Common Lisp
(subseq name first end),ISLISP
Array.sub name first len,OCaml
" [name subarrayWithRange:NSMakeRange(first, len)]ns",Objective-C (NSArray * only)
(first([+i.@(-~)end){name,J
name[first..name[first...last],Swift
name copyFrom: first to:last name copyFrom: first count:len,Smalltalk
name[first..end]," D, C#"
name[first..end] name[first..=last],Rust
name[first:end],Cobra
