,fixed size array,,| dynamic size array,
,one-dimensional array,multi-dimensional array,one-dimensional array,[[Array data structure|multi-dimensional array]]
Ada,array ( .. ) of orarray () of," array (1> .. 1>, 2> .. 2>, ...) of orarray (1>, 2>, ...) of ",array ( range ) of," array (1> range , 2> range , ...) of "
ALGOL 68,[first:last]«modename»or simply:[size]«modename»," [first1:last1, first2:last2]«modename»or[first1:last1][first2:last2]«modename»etc.",flex[first:last]«modename»or simply:flex[size]«modename»," flex[first1:last1, first2:last2]«modename»orflex[first1:last1]flex[first2:last2]«modename» etc."
C (C99),type name[size]Cs array[a],type name[size1][size2]Cs array[a],type *nameor within a block:int n = ...; type name[n],
C++ (STL),«std::»array(C++11),,«std::»vector,
C#,type[]," type[,,...]",System.Collections.ArrayListorSystem.Collections.Generic.List,
Java,type[]Javas array[b],type[][]...Javas array[b],ArrayList or ArrayList,
D,type[size],type[size1][size2],type[],
Go,[size]type,[size1][size2]...type,[]type,[][]type,
Rust,[type; size],type; size1]; size2],[type],n/a,
Swift,,,[type] or Array,type or Array>,
Objective-C,NSArray,,NSMutableArray,
JavaScript,n/a,n/a,ArrayJavaScripts array[d],
Common Lisp,,,,
Scheme,,,,
ISLISP,,,,
Pascal,array[first..last] of typesubrange[c]," rowspan=2array[first1..last1] of array[first2..last2]  ... of type subrange[c] or  array[first1..last1, first2..last2, ...] of type subrange[c]",n/a,n/a
Object Pascal (Delphi),,array of type,<code>array of array ... of type</code>
Visual Basic,,,,
Visual Basic .NET,type()," type(,,...)",System.Collections.ArrayListorSystem.Collections.Generic.List(Of type),
Python,,,list,
S-Lang,,,,
Fortran,type :: name(size),"  type :: name(size1, size2,...)","  type, ALLOCATABLE :: name(:)","  type, ALLOCATABLE :: name(:,:,...)"
PHP,,,array,
Perl,,,,
Raku,,,Array[type] or Array of type,
Ruby,,,Array,
Scala,Array[type],Array[...[Array[type...],ArrayBuffer[type],
Seed7,array typeorarray [idxType] type,array array typeorarray [idxType] array [idxType] type,array typeorarray [idxType] type,array array typeorarray [idxType] array [idxType] type
Smalltalk,Array,,OrderedCollection,
Windows PowerShell,type[],"type[,,...]",,
OCaml,type array,type array ... array,,
F#,type [] or type array," type [,,...]",System.Collections.ArrayListorSystem.Collections.Generic.List,
Standard ML,type vector or type array,,,
Haskell (GHC),,,,
COBOL,level-number type OCCURS size «TIMES».,one-dimensional array definition...,level-number type OCCURS min-size TO max-size «TIMES» DEPENDING «ON» size.COBOL DEPENDING ON clause[e],n/a
