Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
2-plan,Yes,Yes,Yes," Proprietary, Open source",Java and PHP
24SevenOffice,yes,no,yes,Proprietary,
Actionspace,yes,no,yes,Proprietary,
Apache Allura,yes,yes,,Apache License,Python
Apache OFBiz,yes,yes,yes,Apache License," Java, Groovy, JavaScript"
Apache Bloodhound,yes,yes,yes,Apache License,Python
Asana,yes,no,yes,Proprietary,
Assembla,yes,yes,yes,Proprietary,
Axosoft,yes,yes,yes,Proprietary,
Basecamp,yes,yes,Proprietary,Ruby
Calligra Plan,no,text=File-based,no,GPL,Java
CEITON,yes,yes,yes,Proprietary," ASP.NET, JavaScript"
Clarizen,yes,no,yes,Proprietary,
Collabtive,yes,yes,yes,Open source (core only),PHP
Compuware Changepoint,yes,yes,yes,Proprietary,
ConceptDraw Project,no,yes,no,Proprietary,
ConceptDraw PLAN,yes,no,yes,Proprietary,Java
Concerto Project Management,yes,yes,yes,Proprietary,
Copper Project,yes,yes,yes,Proprietary,
dotProject,yes,yes,yes,GPL,PHP
DynaRoad,no,unk,unk,Proprietary,
Easy projects,yes,yes,yes,Proprietary,ASP.NET
Eclipse PPM software,yes,no,yes,Proprietary,
Endeavour Software Project Management,yes,unk,unk,GPL,Java
eGroupWare,yes,unk,unk,GPL,PHP
enQuire,yes,unk,yes,Proprietary,Java
FastTrack Schedule,no,Yes,No,Proprietary,
Feng Office Community Edition,yes,yes,yes,AGPLv3,PHP
FinancialForce.com,yes,unk,yes,Proprietary,
FogBugz,yes,yes,yes,Proprietary,ASP.NET
Fossil-scm,yes,yes,yes,2-clause BSD license,C
Freedcamp,yes,no,yes,Proprietary,
FusionForge,yes,yes,unk,GPL,PHP
GanttProject,no,yes,unk,GPL,Java
Genius Project,yes,yes,yes,Proprietary,
Group-Office,yes,yes,yes,Proprietary,
GroveSite,yes,unk,yes,unk,
Hall.com,yes,unk,yes,unk,
Helix ALM,yes,yes,yes,Proprietary,C++
HeySpace,yes,no,yes,Proprietary,JavaScript
HP Project  ; Portfolio Software,yes,yes,Proprietary,
Huddle,yes,unk,unk,Proprietary,
Hyperoffice,yes,unk,unk,Proprietary,
iManageProject,yes,unk,yes,unk,
