",Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation)
"!,Adobe Systems,1989,4.0,discontinued,Proprietary,
"!,Corel,1989,2017," $449, $169 upgrade",Proprietary,Windows
"!,Easy Trace Group,2015,9.8," 960 Euro, 480 Euro upgrade",Proprietary,Windows
"!,Macromedia,1988,11.0.2 discontinued (MX)," $399, $99 upgrade",Proprietary," Windows, macOS"
"!,Adobe Systems,1985,21.0.0 (CC2017),$19.99 per month,Proprietary," Windows, macOS"
"!,GraphicPowers.com,2016,release 5,$15 per month/ $120 per year,Proprietary," Windows, macOS due fall 2017"
"!,Inkscape.org,2003,0.92,free,GPL," Windows, macOS, Linux"
"!,András Jankovics,2015,1.2.5,free,Public domain," Java based"
"!,Elgorithms,2003,2.0.012,$59,Proprietary,Windows
"!,Peter Selinger,2001,1.16 (Sep. 2019),free,GPL," Windows, macOS, Linux, BSD, AmigaOS/AROS"
"!,Avia Systems,1997,v10,$49 - $149 /month,Proprietary," Windows, macOS"
"!,SoftSoft Ltd,1999,2015 (v1.76),free,Freeware,Windows
"!,SoftSoft Ltd,2000,2015 (v3.6),$299,Proprietary,Windows
"!,Xara Group Ltd.,1994,2014 (v10),$89.99,Proprietary,Windows
"!,Effectmatrix Ltd.,2013,2016 (v1.6.6),$29.99,Proprietary,macOS
,Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation)
