,TGA,RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
Ability Photopaint,dunno,dunno,yes,yes,yes,no,dunno,yes,yes,yes,no,no,dunno,dunno,dunno
ACD Canvas,dunno,dunno,yes,yes,yes,no,dunno,yes,yes,yes,yes,no,dunno,dunno,dunno
ACDSee (Win),dunno,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,dunno,dunno,dunno,dunno
Acorn Image Editor,dunno,yes,yes,yes,yes,yes,no,yes,yes,yes,dunno,dunno,dunno,dunno,dunno
Adobe Fireworks*,dunno,dunno,yes,yes,yes,yes,dunno,yes,yes,yes,no,no,dunno,dunno,dunno
Adobe Photoshop,dunno,yes,yes,yes,yes,Via plug-in,yes,yes,yes,yes,no,no,yes,dunno,dunno
Adobe Photoshop Lightroom,dunno,yes,no,Via plug-in,yes,Via plug-in,no,Via plug-in,dunno,dunno,dunno,dunno,dunno
Affinity Photo,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes
Autodesk SketchBook Pro,dunno,dunno,yes,yes,yes,yes,dunno,yes,yes,yes,no,no,no,dunno,dunno
Artipic,dunno,yes,yes,yes,yes,yes,dunno,yes,yes,partial,no,no,yes,dunno,dunno
ArtRage,dunno,dunno,yes,yes,yes,no,dunno,yes,yes,yes,no,no,dunno,dunno,dunno
Artweaver,dunno,no,yes,yes,yes,partial,dunno,yes,yes,partial,no,no,yes,dunno,dunno
Bibble*,dunno,yes,no,no,yes,no,no,no,yes,no,no,no,no,dunno,dunno
Brush Strokes Image Editor,dunno,dunno,yes,yes,yes,no,,yes,yes,no,no,no,dunno,,
Capture One,dunno,yes,yes,yes,yes,yes,,yes,yes,yes,dunno,dunno,dunno,,
Chasys Draw IES,dunno,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,
CinePaint,dunno,yes,yes,yes,yes,no,,yes,yes,partial,no,yes,dunno,,
CodedColor PhotoStudio Pro,dunno,dunno,yes,yes,yes,yes,,yes,yes,yes,no,no,yes,,
Corel PaintShop Pro,dunno,yes,yes,yes,yes,yes,,yes,yes,partial,yes,no,yes,,
Corel Painter,dunno,dunno,yes,yes,yes,no,,no,yes,yes,yes,no,Import,,
Corel Photo-Paint,dunno,yes,yes,yes,yes,yes,,yes,yes,yes,yes,no,yes,,
darktable,dunno,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,,
Deluxe Paint*,no,no,no,no,no,no,,no,no,no,no,no,no,,
DigiKam,dunno,yes,yes,yes,yes,yes,,yes,yes,no,no,yes,dunno,,
Erdas Imagine,dunno,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,Import,,
Fatpaint,dunno,no,no,no,yes,no,no,yes,no,no,no,no,no,,
Fotografix,dunno,partial,yes,yes,yes,no,no,yes,yes,Import only,no,Import only,Import only,,
GIMP,yes,yes,yes,yes,yes,yes,Via plug-in,yes,yes,yes,yes,yes,yes,yes,yes
GIMPshop,dunno,dunno,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,,
GrafX2,dunno,no,yes,yes,Import only,no,no,yes,yes,no,no,no,yes,,
GraphicConverter,dunno,partial,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,,
HDR PhotoStudio,dunno,yes,yes,no,yes,no,no,no,yes,no,no,no,no,,
Helicon Filter,dunno,yes,yes,Import,yes,yes,no,yes,yes,yes,no,no,no,,
ImageMagick,dunno,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,,
iPhoto*,dunno,yes,dunno,dunno,yes,dunno,no,yes,yes,yes,dunno,dunno,yes,,
IrfanView,dunno,Via plug-in,yes,yes,yes,Via plug-in,Via plug-in,yes,yes,yes,yes,no,yes,,
Iridient Developer,dunno,yes,yes,yes,yes,yes,,yes,yes,yes,dunno,dunno,dunno,,
Kolourpaint,dunno,dunno,yes,yes,yes,yes,no,yes,yes,no,no,Import,yes,,
