",Word for Windows,Word for Mac,Pages,Apache OpenOffice / LibreOffice,Kile/LyX,Google Docs,RTF scan,Other
Bebop,no,no,no,no,no,no,no,none
BibBase,no,no,no,no,no,no,no,none
BibDesk,no,no,no,no,yes,dunno,dunno,dunno
Biblioscape,yes,no,no,no,no,no,dunno,WordPerfect
BibSonomy,no,no,no,no,no,no,no,none
Bibus,yes,dunno,dunno,yes,no,no,dunno,none
Bookends,yes,yes,yes,yes,no,no,yes," Nisus"
Citavi,yes,no,no,Only versions prior to 6.0,yes,no,Only versions prior to 6.0," LaTeX editors LEd, Texmaker, TeXnicCenter, TeXstudio, TeXworks, WinEdt, WinShell"
CiteULike,no,no,no,no,no,no,no,none
colwiz,yes,dunno,dunno,yes,no,no,dunno," NeoOffice, Star Office"
EndNote,Yes,yes,yes,no,no,no,yes,no
F1000Workspace,yes,yes,no,no,no,yes,no,[http://www.manuscriptsapp.com/ Manuscripts App]
JabRef,yes,dunno,dunno,yes,yes,no,dunno," Vim, WinEdt"
KBibTeX,no,dunno,dunno,no,yes,no,dunno,none
Mendeley,yes,partial,no,yes,no,no,dunno,NeoOffice
Paperpile,in beta,no,no,no,no,yes,no,no
Pybliographer,no,dunno,dunno,yes,yes,no,dunno,none
Qiqqa,yes,dunno,dunno,no,yes,no,no,none
ReadCube (now Papers),yes,yes,dunno,no,no,Yesalign=style=color=,no,none
refbase,no,dunno,dunno,yes,no,no,yes," [http://pira.isrl.uiuc.edu/ PIRA], MediaWiki, SPIP"
RefDB,no,dunno,dunno,no,no,no,no,none
Reference Manager,yes,no,no,no,no,no,yes,none
Referencer,dunno,dunno,dunno,dunno,dunno,dunno,dunno,dunno
RefWorks,yes,yes,no,no,no,yes,yes,none
SciRef,yes,dunno,dunno,no,no,no,no,none
Sente,yes,dunno,Only versions prior to 5.0,no,no,no,yes," Nisus, TextEdit; HTML and plain text scan"
Wikindx,no,dunno,dunno,no,no,no,yes,Integrated WYSIWYG word processor (RTF output for Word/OpenOffice)
WizFolio,yes,dunno,dunno,yes,no,yes,dunno,Zoho Writer
Zotero,yes,yes,No,yes,(with LyZ),yes,yes,NeoOffice
