",Maintainer,First public release date,Latest stable version,Latest release date,License,Public issues list
"!,4D S.A.S.,1984,v16.0,2017-01-10,Proprietary,No
"!,Software AG,1970,8.1,2013-06,Proprietary,No
"!,SAP AG,1987,16.0 SP03 PL07,2019-06-10,Proprietary,No
"!,SAP AG,1992,12.0,2015,Proprietary,No
"!,Altibase Corp.,2000,7.1.0.1.2,2018-03-02,GNU-AGPLv3; GNU-LGPLv3(for client-libraries),No
"!,Apache,2004,10.15.1.3,2019-03-11,Apache License,Yes
"!,MariaDB Corporation,2010,v7.0,2015-08-19,Proprietary,No
"!,NHN Corporation,2008-11,10.1.0,2017-07-14," GPL v2 or later, BSD license for APIs and GUI tools",Yes
"!," CA, Inc.",Early 70s,14,2012,Proprietary,No
"!,IBM,1983,11.1,2016-04-12,Proprietary,No
"!,Empress Software Inc,1979,10.20,2010-03,Proprietary,No
"!,EXASOL AG,2004,6.0.0,2017-03-17,Proprietary,No
"!," FileMaker, Inc., an Apple subsidiary",1985-04,18,2019-05-22,Proprietary,No
"!,Firebird project,2000-07-25,3.0.4,2018-10-04,IPL and IDPL,Yes
"!,GIS Federal,2014,3.2.5,2015-01-14,Proprietary,No
"!,HSQL Development Group,2001,2.4.1,2018-05-20,BSD,Yes
"!,H2 Software,2005,1.4.197,2018-03-18,EPL and modified MPL,Yes
"!,IBM," 1981????1980",14.10.xC3,2019-12-05,Proprietary,No
"!,Ingres Corp.,1974,10.2,2014-09-30,GPL and Proprietary,No
"!,Embarcadero,1984,XE7 v12.0.4.357,2015-08-12,Proprietary,No
"!,RELEX Group,1990,6.0.17.53,2018-02-15,Proprietary,Yes
"!,The Eigenbase Project,2007-01,0.9.4,2012-01-05,GPL v2,No
"!,MariaDB Community,2010-02-01,10.4.11,2019-12-11," GPL v2, LGPL (for client-libraries)",Yes
"!,SAP AG,2003-05,7.9.0.8,2014,Proprietary,Yes
"!,Microsoft,1992,16 (2016),2015-09-22,Proprietary,No
"!,Microsoft,1984,9 (2005),2007-10-11,Proprietary,No
"!,Microsoft,1989,2017 (14),2017-10-02,Proprietary,No
"!,Microsoft,2000,2011 (v4.0),,Proprietary,No
"!,Mimer Information Technology,1978,v10.1.5A,2019-02-28,Proprietary,No
"!,The MonetDB Team / CWI,2004,Apr2019,2019-04-26," Mozilla Public License, version 2.0",Yes
"!,Hughes Technologies,1994,4.1,2017-06-30,Proprietary,No
"!,Oracle Corporation,1995-11,8.0.18,2019-10-14,GPL v2 or Proprietary,Yes
"!,MemSQL,2012-06,5.8.6 (2017),2017-06-30,Proprietary,No
"!,NexusDB Pty Ltd,2003,4.00.14,2015-06-25,Proprietary,No
"!,Hewlett-Packard,1987,SQL/MX 3.4,,Proprietary,No
"!,NuoDB,2013,3.0.1,,Proprietary,No
"!,TigerLogic Inc,1982-07,6.1.3 Release 1no,2015-12,Proprietary,No
"!,OpenBase International,1991,11.0.0,,Proprietary,No
"!,Progress Software Corporation,1984,11.6.3,2016-08-19,Proprietary,No
"!,OpenLink Software,1998,7.2.5.1,2018-08-15,GPL v2 or Proprietary,Yes
"!,Oracle Corporation,1979-11,18.1.0.0,2018-07-23,Proprietary,No
"!,Oracle Corporation,1984,7.3.3.1.0,2019-03-21,Proprietary,No
"!,Corel Corporation,1985,11,2009-09-07,Proprietary,No
"!,Percona,2006,8.0.18-9,2019-12-11,GPL v2,Yes
"!,Pervasive Software,1982,v12,2015,Proprietary,No
"!,ENEA AB,1993,9.0,2015-06-24," Proprietary, with Polyhedra Lite available as Freeware",No
"!,PostgreSQL Global Development Group,1989-06,12.1,2019-11-14,PostgreSQL Licence (a liberal Open Source license),No
"!,R:BASE Technologies,1982,10.0,2016-05-26,Proprietary,No
"!,Raima Inc.,1984,14.1,2018-03-23,Proprietary,No
"!,Raima Inc.,1993,8.4,2012-10-31,Proprietary,No
"!,SAP AG,2010,2.0 SPS04,2019-08-08,Proprietary,No
"!,UNICOM Global,1992,7.0.0.10,2014-04-29,Proprietary,No
"!,SAP AG,1992,17.0.0.48,2019-07-26,Proprietary,No
"!,Unify Corp.,1982,11.5,2008-11,Proprietary,No
"!,D. Richard Hipp,2000-09-12,3.30.1,2019-10-11,Public domain,Yes
"!,SQream Technologies,2014,2.1,2018-01-15,Proprietary,No
"!,Superbase,1984,Scientific (2004),,Proprietary,No
"!,Teradata,1984,15,2014-04,Proprietary,No
"!,TmaxSoft,1992,6,2015-04,Proprietary,No
"!,Apache,2016,3.0.0,2019-06-28,Apache License,Yes
"!,Rocket Software,1988,8.2.1,2017-07,Proprietary,No
"!,Apache,2018,1.3.1,2019-07-30,Apache License,Yes
"!,Maintainer,First public release date,Latest stable version,Latest release date,License,Public issues list
