",Developed by,Software license,Last stable version,Latest release date
"!,NaviSoft,Mozilla,4.5.2,2012-09-19
"!,Apache Software Foundation,Apache,2.4.41,2019-08-14
"!,Apache Software Foundation,Apache,9.0.21,2019-06-07
"!,Jon Nelson and Larry Doolittle,GNU GPL,0.94.13,2002-07-30(discontinued)
"!,Matt Holt,Apache,1.0.0,2019-04-24
"!,The Caudium Group,GNU GPL,1.4.18,2012-02-24
"!,Álvaro López Ortega,GNU GPL,1.2.103,2013-04-21
"!," "Oracle Corporation (initial code from Sun Microsystems)"",Common Development and Distribution License  ; GNU General Public License,5.1,2019-01-28
"!,Kazuho Oku,MIT,2.2.6,2019-08-13
"!,Hugo Leisink,GNU GPLv2,10.9,2019-02-18
"!,Rejetto,GNU GPL,2.3i,2016-06-14
"!,IBM,nonfree proprietary,9.0.0,2016-03-11
"!,Microsoft,nonfree proprietary,10.0.17763.1,2018-10-02
"!,Eclipse Foundation,Apache,9.4.18,2019-04-29
"!,Bing Liu,nonfree proprietary,5.5.2,2014-04-27
"!,Jan Kneschke (Incremental),BSD variant,1.4.54,2019-05-27
"!,LiteSpeed Technologies,nonfree proprietary,5.3.7,2019-03-15
"!,Cesanta Software,GNU GPLv2 / proprietary license,6.14,2019-03-04
"!,Monkey Software,Apache,1.6.9,2016-05-04
"!,Various,Mozilla 1.1,4.99.18,2019-02-24
"!,Robert McCool,nonfree proprietary,1.5.2a,1996-10-08
"!," NGINX, Inc.",BSD variant,1.16.1,2019-08-13
"!,OpenLink Software,GNU GPL and proprietary versions,7.2.5.1,2018-10-22
"!,Oracle Corporation,nonfree proprietary,12.1.2,2014-09-23
"!,Oracle Corporation,BSD,7.0.23,2016-02-12
"!,Oracle Corporation(formerly BEA Systems),nonfree proprietary,12cR3 (12.1.3),2014-06-26
"!,Caucho Technology,GNU GPLv3 / proprietary license,4.0.57,2018-07-19
"!,Caucho Technology,nonfree proprietary,4.0.49,2016-10-19
"!,Jef Poskanzer for ACME Laboratories,BSD variant,2.27,2014-10-03
"!,Ingo Molnár,GNU GPL,3.2.6.18,2006-09-20
"!,Wakanda,GNU AGPLv3 / proprietary license,2.1.0,2017-07-27
"!,Ruby Community,Ruby,1.9.3 p286 (Ruby),2012-10-12
"!,iMatix Corporation,BSD,5.0a0,2009-02-19
"!,Claes Wikström,BSD variant,2.0.4,2016-09-22
"!,Zeus Technology,nonfree proprietary,4.3r5,2010-01-13
"!,Zope Corporation,Zope,2.13.21,2013-07-16
"!,Developed by,Software license,Last stable version,Latest release date
