[],
1,|{{Flagicon|China}} [[China]] [[PRC]] ,|{{USA}} {{Flagicon|Canada}}[[Canada]] ,25.398,
2,|{{Flagicon|India}} [[India]],|{{Flagicon|California}} [[California]] {{Flagicon|Texas}} [[Texas]] {{flagicon|New York}} [[New York (state)|New York]] {{Flagicon|Florida}} [[Florida]] {{Flagicon|Illinois}} [[Illinois]] {{Flagicon|Oregon}} [[Oregon]],11.321,
3,|{{Flagicon|Japan}} [[Japan]],|{{Flagicon|California}} [[California]] {{Flagicon|Texas}} [[Texas]] {{Flagicon|New York}} [[New York (state)|New York]] {{Flagicon|Florida}} [[Florida]] ,5429,
4,|{{Flagicon|Germany}} [[Germany]] ''([[European Union|EU]])'', |{{Flagicon|California}} [[California]] {{flagicon|Texas}} [[Texas]] {{flagicon|Mississippi}} [[Mississippi]],4170,
5,|{{Flagicon|Russia}} [[Russia]],|{{Flagicon|California}} [[California]] {{flagicon|Texas}} [[Texas]],4007,
6,|{{Flagicon|Indonesia}} [[Indonesia]],|{{Flagicon|California}} [[California]] {{Flagicon|Michigan}} [[Michigan]],3244,
7,|{{Flagicon|Brazil}} [[Brazil]],|{{Flagicon|California}} [[California]] {{Flagicon|Michigan}} [[Michigan]], 3240,
8,|{{Flagicon|United Kingdom}} [[United Kingdom]],|{{Flagicon|California}} [[California]] {{Flagicon|Hawaii}} [[Hawaii]] {{Flagicon|Utah}} [[Utah]],2914,
9,|{{Flagicon|France}} [[France]] ''([[European Union|EU]])'', |{{Flagicon|California}} [[California]] {{Flagicon|Louisiana}} [[Louisiana]],2836,
10,|{{Flagicon|Mexico}} [[Mexico]],|{{Flagicon|Texas}} [[Texas]] {{Flagicon|Pennsylvania}} [[Pennsylvania]],2458,
11,|{{Flagicon|Italy}} [[Italy]] ''([[European Union|EU]])'', |{{Flagicon|Texas}} [[Texas]] {{Flagicon|New Jersey}} [[New Jersey]] {{Flagicon|Vermont}} [[Vermont]],2311,
12,|{{Flagicon|Turkey}} [[Turkey]],|{{Flagicon|Texas}} [[Texas]] {{Flagicon|Michigan}} [[Michigan]],2173,
13,|{{Flagicon|South Korea}} [[South Korea]],|{{Flagicon|Texas}} [[Texas]] {{Flagicon|Colorado}} [[Colorado]], 2029,
14,|{{Flagicon|Spain}} [[Spain]] ''([[European Union|EU]])'', |{{flagicon|Texas}} [[Texas]] {{Flagicon|West Virginia}} [[West Virginia]],1774,
15,|{{Flagicon|Saudi Arabia}} [[Saudi Arabia]],|{{flagicon|Texas}} [[Texas]] {{Flagicon|West Virginia}} [[West Virginia]],1774,
16,|{{Flagicon|Canada}} [[Canada]],|{{flagicon|Texas}} [[Texas]] {{Flagicon|West Virginia}} [[West Virginia]],1769,
17,|{{Flagicon|Iran}} [[Iran]],|{{Flagicon|New York}} [[New York (state)|New York]] {{Flagicon|New Mexico}} [[New Mexico]],1645,
18,|{{Flagicon|Australia}} [[Australia]],|{{Flagicon|Florida}} [[Florida]] {{Flagicon|Utah}} [[Utah]],1247,
19,|{{Flagicon|Thailand}} [[Thailand]],|{{Flagicon|Florida}} [[Florida]] {{Flagicon|Nevada}} [[Nevada]],1234,
20,|{{Flagicon|Egypt}} [[Egypt]],|{{Flagicon|Florida}} [[Florida]] {{Flagicon|Mississippi}} [[Mississippi]],1201,
21,|{{Flagicon|Taiwan}} [[Taiwan]],|{{Flagicon|Florida}} [[Florida]] {{Flagicon|Mississippi}} [[Mississippi]],1186,
22,|{{Flagicon|Poland}} [[Poland]] ''([[European Union|EU]])'', |{{Flagicon|Florida}} [[Florida]] {{Flagicon|Mississippi}} [[Mississippi]],1121,
23,|{{Flagicon|Nigeria}} [[Nigeria]],|{{Flagicon|Florida}} [[Florida]] {{Flagicon|Mississippi}} [[Mississippi]],1119,
