[ 
, Lower house
, Upper house
, Ratio
, Total
],
! scope="col" style="width: 105px;" |Legislative branch constitutional name,! scope="col" style="width: 105px;" |Name,! scope="col" style="width: 50px;" |Size,! scope="col" style="width: 50px;" |Term length (years),! scope="col" style="width: 60px;" |Term limit,! scope="col" style="width: 105px;" |Name,! scope="col" style="width: 50px;" |Size,! scope="col" style="width: 50px;" |Term length (years),! scope="col" style="width: 60px;" |Term limit,! scope="col" style="width: 10px;" |Filibuster possible,! scope="col" style="width: 70px;" |Lower to Upper house size,! scope="col" style="width: 70px;" |Total,
| [[Alabama Legislature]],| [[Alabama House of Representatives]],| 105 ,| 4,| None,| [[Alabama Senate]],| 35,| 4,| None,| Yes,|3,| 140,
| [[Alaska Legislature]],| [[Alaska House of Representatives]],| 40 ,| 2,| None,| [[Alaska Senate]],| 20,| 4,| None,| Yes,|2,| 60,
| [[Arizona Legislature]],| [[Arizona House of Representatives]],| 60 ,| 2,| Four consecutive terms,| [[Arizona Senate]],| 30,| 2,| Four consecutive termsref name="AZterm" /,| No,|2,| 90,
| [[Arkansas General Assembly]],| [[Arkansas House of Representatives]],| 100 ,| 2,| Three terms,| [[Arkansas Senate]],| 35,| 2 or 4,| Two 4 year terms,| Yes,|2.857143,| 135,
| [[California State Legislature]],| [[California State Assembly]],| 80,| 2,| Not more than 12 years in either house combined,| [[California State Senate]],| 40,| 4,| Not more than 12 years in either house combinedref name="california" /,| No,|2,| 120,
| [[Colorado General Assembly]],| [[Colorado House of Representatives]],| 65 ,| 2,| Four consecutive terms,| [[Colorado Senate]],| 35,| 4,| Two consecutive terms,| No,|1.857143,| 100,
| [[Connecticut General Assembly]],| [[Connecticut House of Representatives]],| 151 ,| 2,| None,| [[Connecticut Senate]],| 36,| 2,| None,| Yes,|4.194444,| 187,
| [[Delaware General Assembly]],| [[Delaware House of Representatives]],| 41 ,| 2,| None,| [[Delaware Senate]],| 21,| 2 or 4,| None,| No,|1.952381,| 62,
| [[Florida Legislature]],| [[Florida House of Representatives]],| 120 ,| 2,| Four terms,| [[Florida Senate]],| 40,| 2 or 4,| Two terms,| Yes,|3,| 160,
| [[Georgia General Assembly]],| [[Georgia House of Representatives]],| 180 ,| 2,| None,| [[Georgia Senate]],| 56,| 2,| None,| No,|3.214286,| 236,
| [[Hawaii State Legislature]],| [[Hawaii House of Representatives]],| 51 ,| 2,| None,| [[Hawaii Senate]],| 25,| 4,| None,| Yes,|2.04,| 76,
| [[Idaho Legislature]],| [[Idaho House of Representatives]],| 70 ,| 2,| None,| [[Idaho Senate]],| 35,| 2,| None,| Yes,|2,| 105,
| [[Illinois General Assembly]],| [[Illinois House of Representatives]],| 118 ,| 2,| None,| [[Illinois Senate]],| 59,| 2 or 4,| None,| No,|2,| 177,
| [[Indiana General Assembly]],| [[Indiana House of Representatives]],| 100 ,| 2,| None,| [[Indiana Senate]],| 50,| 4,| None,| No,|2,| 150,
| [[Iowa General Assembly]],| [[Iowa House of Representatives]],| 100 ,| 2,| None,| [[Iowa Senate]],| 50,| 4,| None,| No,|2,| 150,
| [[Kansas Legislature]],| [[Kansas House of Representatives]],| 125 ,| 2,| None,| [[Kansas Senate]],| 40,| 4,| None,| No,|3.125,| 165,
| [[Kentucky General Assembly]],| [[Kentucky House of Representatives]],| 100 ,| 2,| None,| [[Kentucky Senate]],| 38,| 4,| None,| No,|2.631579,| 138,
| [[Louisiana State Legislature]],| [[Louisiana House of Representatives]],| 105 ,| 4,| Three terms,| [[Louisiana State Senate]],| 39,| 4,| Three terms,| No,|2.692308,| 144,
| [[Maine Legislature]],| [[Maine House of Representatives]],| 153 ,| 2,| Four terms,| [[Maine Senate]],| 35,| 2,| Four terms,| Yes,|4.371429,| 188,
| [[Maryland General Assembly]],| [[Maryland House of Delegates]],| 141 ,| 4,| None,| [[Maryland State Senate]],| 47,| 4,| None,| No,|3,| 188,
| [[General Court of Massachusetts]],| [[Massachusetts House of Representatives]],| 160 ,| 2,| None,| [[Massachusetts Senate]],| 40,| 2,| None,| No,|4,| 200,
| [[Michigan Legislature]],| [[Michigan House of Representatives]],| 110 ,| 2,| Three terms,| [[Michigan Senate]],| 38,| 4,| Two terms,| No,|2.894737,| 148,
| [[Minnesota Legislature]],| [[Minnesota House of Representatives]],| 134 ,| 2,| None,| [[Minnesota Senate]],| 67,| 2 or 4,| None,| No,|2,| 201,
| [[Mississippi Legislature]],| [[Mississippi House of Representatives]],| 122 ,| 4,| None,| [[Mississippi State Senate]],| 52,| 4,| None,| Yes,|2.346154,| 174,
| [[Missouri General Assembly]],| [[Missouri House of Representatives]],| 163 ,| 2,| Four terms ,| [[Missouri Senate]],| 34,| 4,| Eight yearsref name="MOterm" / (Two terms),| No,|4.794118,| 197,
| [[Montana State Legislature]],| [[Montana House of Representatives]],| 100 ,| 2,| Four terms,| [[Montana Senate]],| 50,| 4,| Two terms,| No,|2,| 150,
| [[Nebraska Legislature]],| N/A,| N/A,| N/A,| N/A,| Unicameral and nonpartisan,| 49 ,| 4,| Two terms,| Yes,|N/A,| 49,
| [[Nevada Legislature]],| [[Nevada Assembly]],| 42 ,| 2,| Six terms,| [[Nevada Senate]],| 21,| 4,| Three terms,| No,|2,| 63,
| [[New Hampshire General Court]],| [[New Hampshire House of Representatives]],| 400 ,| 2,| None,| [[New Hampshire Senate]],| 24,| 2,| None,| No,|16.66667,| 424,
| [[New Jersey Legislature]],| [[New Jersey General Assembly]],| 80 ,| 2,| None,| [[New Jersey Senate]],| 40,| 2 or 4,| None,| No,|2,| 120,
| [[New Mexico Legislature]],| [[New Mexico House of Representatives]],| 70 ,| 2,| None,| [[New Mexico Senate]],| 42,| 4,| None,| No,|1.666667,| 112,
| [[New York State Legislature]],| [[New York State Assembly]],| 150 ,| 2,| None,| [[New York State Senate]],| 63,| 2,| None,| No,|2.380952,| 213,
| [[North Carolina General Assembly]],| [[North Carolina House of Representatives]],| 120 ,| 2,| None,| [[North Carolina Senate]],| 50,| 2,| None,| No,|2.4,| 170,
| [[North Dakota Legislative Assembly]],| [[North Dakota House of Representatives]],| 94 ,| 4,| None,| [[North Dakota Senate]],| 47,| 4,| None,| No,|2,| 141,
| [[Ohio General Assembly]],| [[Ohio House of Representatives]],| 99 ,| 2,| Four terms,| [[Ohio Senate]],| 33,| 4,| Two terms,| No,|3,| 132,
| [[Oklahoma Legislature]],| [[Oklahoma House of Representatives]],| 101 ,| 2,| Not more than 12 years in either house combined,| [[Oklahoma Senate]],| 48,| 4,| Not more than 12 years in either house combined,| No,|2.104167,| 149,
| [[Oregon Legislative Assembly]],| [[Oregon House of Representatives]],| 60 ,| 2,| None,| [[Oregon State Senate]],| 30,| 4,| None,| No,|2,| 90,
| [[Pennsylvania General Assembly]],| [[Pennsylvania House of Representatives]],| 203 ,| 2,| None,| [[Pennsylvania State Senate]],| 50,| 4,| None,| No,|4.06,| 253,
