[ Digital audio editor
, Creator / developer
, [[Software license]]
, [[Microsoft Windows]]
, [[MacOS]]
, [[Linux]]
, [[iOS]]
, Android
, Network storage
, External hardware

],
| [[Magix]],| {{proprietary}},| {{Yes}},| {{No}},| {{No}},| {{No}},|,|,|,
| The Ardour Community,| {{free|[[GNU General Public License|GNU GPL]]}},| {{Yes}},| {{Yes}},| {{Yes}},| {{No}},|,| NFS,|,
| [[Mark of the Unicorn]],| {{proprietary}},| {{No}},| {{Yes}},| {{No}},| {{No}},|,|,|,
| [[Adobe Systems]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{No}},|,|,|,
| Bitwig,| {{proprietary}},| {{Yes}},| {{Yes}},| {{Yes}},| {{No}},|,|,|,
| BandLab Technologies,| {{proprietary}} ([[Freeware]]),| {{Yes}},| {{No}},| {{No}},| {{No}},|,|,|,
| [[Steinberg]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{Yes}},| {{Yes}},|,| Requires hardware [[dongle]],
| Mark of the Unicorn,| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{No}},|,|,|,
| [[Image-Line]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{Yes}},| {{Yes}},|,|,
| [[Apple Inc.|Apple]],| {{proprietary}},| {{No}},| {{Yes}},| {{No}},| {{Yes}},|,|,|,
| [[Harrison Audio Consoles|Harrison Consoles]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{Yes}},| {{No}},|,| NFS,|,
| Kreatives,| {{proprietary}} ([[Freeware]]),| {{Yes}},| {{No}},| {{No}},| {{No}},|,|,|,
| [[Ableton]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{No}},|,|,|,
| Tobias Doerffel,| {{free|[[GNU General Public License|GNU GPL]]}},| {{Yes}},| {{Yes}},| {{Yes}},| {{No}},|,| NFS,|,
| [[Apple Inc.|Apple]],| {{proprietary}},| {{Partial|Discontinued}} (last version: 5.5.1),| {{Yes}},| {{No}},| {{No}},|,|,|,
| Acoustica,| {{proprietary}},| {{Yes}},| {{No}},| {{No}},| {{No}},|,|,|,
| Martin Pesch,| {{proprietary}} [[Freeware]],| {{Yes}},| {{No}},| {{No}},| {{No}},|,|,|,
| MuTools,| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{No}},|,|,|,
| Bremmers Audio Design,| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{Yes}},|,|,|,
| MuseE,| {{free|[[GNU General Public License|GNU GPL]]}},| {{No}},| {{No}},| {{Yes}},| {{No}},|,| NFS,|,
| Fasoft,| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{Yes}},| {{Yes}},|,|,
| [[Steinberg]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{No}},|,|,|,
| Zynewave,| {{proprietary}} / Freemium ,| {{Yes}},| {{No}},| {{No}},| {{No}},|,|,|,
| [[Avid Technology|Avid]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{No}},|,| MediaNet (proprietary),| {{Yes}},
| Qtractor,| {{free|[[GNU General Public License|GNU GPL]]}},| {{No}},| {{No}},| {{Yes}},| {{No}},|,| NFS,|,
| [[Cockos]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{Yes}} (pre-beta),| {{No}},|,|,|,
| [[Propellerhead Software]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{No}},|,|,| ,
| Propellerhead Software,| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{No}},|,|,|,
| Renoise Team,| {{proprietary}},| {{Yes}},| {{Yes}},| {{Yes}},| {{No}},|,|,|,
| Rosegarden,| {{free|[[GNU General Public License|GNU GPL]]}},| {{No}},| {{No}},| {{Yes}},| {{No}},|,| NFS,|,
| [[Magix]],| {{proprietary}},| {{Yes}},| {{No}},| {{No}},| {{No}},|,|,|,
| [[Mackie]],| {{proprietary}},| {{Yes}},| {{No}},| {{No}},| {{No}},|,|,| External 2U rack unit,
| [[PreSonus]],| {{proprietary}},| {{Yes}},| {{Yes}},| {{No}},| {{No}},|,| [[SoundCloud]],|,
| Tracktion Software Inc,| {{proprietary}},| {{Yes}},| {{Yes}},| {{Yes}},| {{No}},|,|,|,
! Creator / developer,! [[Software license]],! [[Microsoft Windows]],! [[MacOS]],! [[Linux]],! [[iOS]],! Android,! Network storage,! External hardware,
,
