[ Name
, Developer(s)
, Operating system(s)
, License
, Price
, WWW
, Notes
],
| Easypano Holdings Inc.,| Windows XP/7/8; Mac OS X 10.4 or later,| Proprietary,| data-sort-value="$99" |Standard: $99 / Professional: $299,| [http://www.easypano.com/panorama-software.html easypano.com],| Branding free trial version works will be watermarked. ,
| WidsMob Technology Ltd.,| Mac OS X 10.8 or later,| Proprietary,| $19.99,| [https://www.widsmob.com/panorama widsmob.com],| Branding free trial version works will be watermarked. ,
| DualAlign LLC,| [[Windows XP]] or Vista; [[Mac OS X]] 10.2 or higher,| Proprietary,| data-sort-value="$50" |Express: $50 / Pro: $100,| [http://i2align.com/ i2Align.com],| ''Express'' is limited to four images per panorama,
| Pixtra Corp.,| [[Windows 95]] or later,| Proprietary,| $49,| [http://www.pixtra.com/products/OmniStitcher/OmniStitcher_designs.htm Pixtra.com],| Designed for 360x180 degree ''omniramas''.,
| Pixtra Corp.,| [[Windows 95]] or later,| Proprietary,| $30,| [http://www.pixtra.com/products/PanoStitcher/PanoStitcher_designs.htm Pixtra.com],| Includes virtual tool authoring package.,
| PROMICRA,| Windows 7 or later,| Proprietary,|  ,| [https://www.promicra.com/quickphoto-microscope-software/image-stitching/ promicra.com],| Stitching together fields of view from microscope.,
| Dermandar,| Browser based (Adobe Flash player required) Apple iOS4,| Proprietary,| data-sort-value="$0" |Free,| [http://www.dermandar.com/ Dermandar.com],| Panoramas are uploaded on the Dermandar server and they can be viewed with the provided Flash viewer.,
| [[Tekmate]] Inc.,| [[Windows 98]] or later,| Proprietary,| data-sort-value="$52" |Harmony: $52 / Premium: $277,| [https://web.archive.org/web/20080731173825/http://www.photofit4panorama.com/ PhotoFit4Panorama.com],| ''Premium'' has bigger output size limits (12 vs. 1200 Mpix) and more output projections.,
| [[Serif Europe|Serif (Europe) Ltd.]],| Windows XP or later,| Proprietary,| data-sort-value="£20" |£20,| [http://www.serif.com/panoramaplus/ Serif.com],| Video input.,
| [[3cim]] Inc.,| Windows ??,| Proprietary,| $199 / Pro: $499 + annual $199,| [https://web.archive.org/web/20090204035620/http://www.panobuilder.com/index.asp PanoBuilder.com],| Price incl. hosting for virtual tours.,
| [[Pixloo]],| Windows and Mac,| Proprietary,| $9 Month,| [http://www.pixloo.com Pixloo],| Unlimited hosting of virtual tours.,
| 360 Degrees of Freedom,| Windows only,| Proprietary,| $99,| [http://www.360dof.com/products/panorama-stitching-vr-equipment/360-panorama-professional/index.html 360dof.com],| Includes virtual tool authoring package.,
| 360 Degrees of Freedom,| Windows only,| Proprietary,| $499,| [http://www.360dof.com/products/panorama-stitching-vr-equipment/360-panorama-professional/index.html 360dof.com],| Includes virtual tool authoring package. specifically designed for fisheye lenses.,
| [[Ulead]] / [[Corel]] Corp.,| Windows up to XP only,| Proprietary,| $40,| [https://web.archive.org/web/20071011203910/http://store.corel.com/webapp/wcs/stores/servlet/ProductDisplay?partNumber=OL_COOL360;srcid=;pculicenseid=;promocode=0;countryCode=US;storeId=10302;catalogId=10103;langId=-1 Corel.com],| Support discontinued.,
| Smoky City Design LLC,| Windows 98 or later; Mac OS X 10.3.9 or later,| Proprietary,| $80,| [http://www.panoramafactory.com/ panoramafactory.com],| ,
