Product,Vendor,Edition,Release Date,Framework,Compatibility,License
ActiveVOS,Active Endpoints,8.0,",Servlet or Java EE,BPMN 2.0; WS-BPEL,Proprietary
Activiti,Alfresco and the Activiti community,5.16.4,",Java,BPMN 2.0,Apache 2.0
Apache ODE,ASF,1.3.71.0.164,"," JBIJava EE"," BPEL4WS 1.1, WS-HumanTask with Apache HISE )",Apache 2.0
BizTalk Server,Microsoft,Biztalk 2010,",.NET," BPEL, BPMN, RFID, WSDL, UDDI, WS-*, ...",Proprietary
Imixs-Workflow,Imixs,3.2.0,",Java EE,BPMN 2.0,GPL 2.0
jBPM,jBoss,6.4.0,",Java EE,BPMN 2.0,Apache 2.0
Open ESB,OpenESB Community,2.3.1,"," JBI",WS-BPEL 2.0,CDDL
Oracle BPEL Process Manager(formerly Collaxa BPEL Orchestration Server),Oracle Corporation,11g,",Java EE," WS-BPEL 2.0, BPMN 2.0",Proprietary
OW2 Orchestra,OW2,4.9.0,",Apache AxisApache CXFOSGiJava EE,WS-BPEL 2.0,LGPL
Petals BPEL Engine,Petals Link,1.0.1,",Java EE," WSDL 1.1 and 2.0",LGPL
SAP Exchange Infrastructure,SAP AG,3.0,,,BPEL,Proprietary
Virtuoso Universal Server,OpenLink Software,4.5,",," UDDI, WS-BPEL, WS-*",GPL and Proprietary
WebSphere Process Server,IBM,6.0.1.3,",Java EE,WS-BPEL,Proprietary
